snapshot_id,fetched_at_utc,gameweek_id,gameweek,player_id,Player,Display_Name,Team,Team_Short,Position,Age,Minutes,Starts,Cost_M,Selected_By_%,Goals,Assists,Expected_Goals,Expected_Assists,Expected_Goal_Involvements,creativity,threat,influence,ict_index,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution,bonus,bps,Form,Total_Points,Status,News,prev_minutes,prev_goals,prev_assists,prev_xgi,prev_form,GW_Minutes,GW_Goals,GW_Assists,GW_xGI,Goals_p90,Assists_p90,xG_p90,xA_p90,xGI_p90,Creativity_p90,Threat_p90,Influence_p90,ICT_p90,DefActions_p90,Bonus_p90,BPS_p90,GW_Goals_p90,GW_Assists_p90,GW_xGI_p90,Rolling_Form_Last5,Rolling_xGI_p90_Last5,recency_rank
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,262,Emile Smith Rowe,Smith Rowe,Fulham,FUL,MID,26,14,0,5.5,0.3,0,0,0.06,0.02,0.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.5,1,a,,,,,,,14,0,0,0.08,0.0,0.0,0.386,0.129,0.514,0.0,0.0,0.0,0.0,12.857,0.0,32.143,0.0,0.0,0.514,0.5,0.514,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,559,Aladji Bamba,Bamba,Newcastle,NEW,MID,20,14,0,5.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,1.0,0.0,1.0,2.0,0.0,5.0,0.5,1,a,,,,,,,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714,2.571,25.714,0.0,32.143,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,159,Moisés Caicedo Corozo,Caicedo,Chelsea,CHE,MID,24,13,0,5.4,2.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,d,Unspecified injury - 75% chance of playing,,,,,,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.769,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,375,Trey Nyoni,Nyoni,Liverpool,LIV,MID,19,13,0,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,3.0,0.5,1,a,,,,,,,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.231,0.0,20.769,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,91,Ethan Pinnock,Pinnock,Coventry City,COV,DEF,33,12,0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.5,1,a,,,,,,,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,-7.5,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,135,Zadok Yohanna,Yohanna,Brighton,BHA,MID,19,12,0,5.0,0.1,0,0,0.0,0.03,0.03,1.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,12,0,0,0.03,0.0,0.0,0.0,0.225,0.225,9.75,0.0,1.5,1.5,0.0,0.0,22.5,0.0,0.0,0.225,0.5,0.225,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,381,Lewis Koumas,Koumas,Liverpool,LIV,MID,20,12,0,5.0,0.0,0,0,0.03,0.0,0.03,0.5,7.0,1.2,0.9,0.0,1.0,0.0,1.0,0.0,4.0,0.5,1,a,,,,,,,12,0,0,0.03,0.0,0.0,0.225,0.0,0.225,3.75,52.5,9.0,6.75,15.0,0.0,30.0,0.0,0.0,0.225,0.5,0.225,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,611,Aaron Wan-Bissaka,Wan-Bissaka,Aston Villa,AVL,DEF,28,12,0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,1,a,,,,,,,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,31,Ezri Konsa Ngoyo,Konsa,Arsenal,ARS,DEF,28,11,0,4.4,10.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.5,1,a,,,,,,,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.364,0.0,24.545,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,321,Sindre Walle Egeli,Walle Egeli,Ipswich Town,IPS,FWD,20,10,0,4.5,2.9,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,435,Shea Lacey,Lacey,Man Utd,MUN,MID,19,10,0,5.0,0.1,0,0,0.0,0.0,0.0,0.6,0.0,0.2,0.1,0.0,1.0,0.0,1.0,0.0,3.0,0.5,1,a,,,,,,,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,1.8,0.9,18.0,0.0,27.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,594,Promise David,David,Brighton,BHA,FWD,25,10,0,6.0,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,9,Piero Hincapié,Hincapie,Arsenal,ARS,DEF,24,9,0,5.4,1.4,0,0,0.0,0.0,0.0,0.5,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,74,David Brooks,Brooks,Bournemouth,BOU,MID,29,9,0,5.0,0.1,0,0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,9,0,0,0.01,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.1,0.5,0.1,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,81,Álvaro Rodríguez,Rodríguez,Bournemouth,BOU,FWD,22,9,0,6.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.5,1,a,,,,,,,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,108,Callum Wilson,Wilson,Brentford,BRE,FWD,34,9,0,5.5,0.4,0,0,0.07,0.04,0.11,10.3,5.0,2.2,1.8,0.0,1.0,0.0,1.0,0.0,7.0,1.0,2,a,,,,,,,9,0,0,0.11,0.0,0.0,0.7,0.4,1.1,103.0,50.0,22.0,18.0,20.0,0.0,70.0,0.0,0.0,1.1,1.0,1.1,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,164,Geovany Quenda,Quenda,Chelsea,CHE,MID,19,8,0,5.4,0.0,0,0,0.0,0.0,0.0,0.3,2.0,1.2,0.4,0.0,0.0,1.0,1.0,0.0,2.0,0.5,1,a,,,,,,,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,22.5,13.5,4.5,22.5,0.0,22.5,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,238,Jack Grealish,Grealish,Man City,MCI,MID,30,8,0,6.5,0.2,0,0,0.0,0.0,0.0,0.6,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.0,2.0,0.5,1,a,,,,,,,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,11.25,2.25,22.5,0.0,22.5,0.0,0.0,0.0,0.5,0.0,1
